class,1-Push&Pull,10-Draw-Zigzag(V),11-Draw-N(V),12-Draw-O(V),13-Draw-1,14-Draw-2,15-Draw-3,16-Draw-4,17-Draw-5,18-Draw-6,19-Draw-7,2-Sweep,20-Draw-8,21-Draw-9,22-Draw-10,3-Clap,4-Slide,5-Draw-N(H),6-Draw-O(H),7-Draw-Rectangle(H),8-Draw-Triangle(H),9-Draw-Zigzag(H)
1-Push&Pull,0.9999998807907104,0.5758413076400757,0.5035718083381653,0.5387547016143799,0.6458466053009033,0.5058048963546753,0.5354982614517212,0.6561005115509033,0.4753124713897705,0.4430444836616516,0.62138432264328,0.5294142365455627,0.4612694978713989,0.5758191347122192,0.5235304832458496,0.6397602558135986,0.613980233669281,0.5612680315971375,0.6232399940490723,0.4324374794960022,0.5132637619972229,0.5995758771896362
10-Draw-Zigzag(V),0.5758413076400757,0.9999999403953552,0.6372120380401611,0.6315823793411255,0.4066583216190338,0.4994417428970337,0.70807945728302,0.5337625741958618,0.5299549102783203,0.4593040943145752,0.32658112049102783,0.6001268625259399,0.6821591854095459,0.551504909992218,0.32382863759994507,0.523081362247467,0.6535450220108032,0.5456087589263916,0.5371668338775635,0.5560295581817627,0.46558132767677307,0.5834161639213562
11-Draw-N(V),0.5035718083381653,0.6372120380401611,0.9999997615814209,0.7040768265724182,0.44048386812210083,0.403870552778244,0.5215833783149719,0.32364821434020996,0.5084379315376282,0.525574803352356,0.4760444760322571,0.6478978991508484,0.5736196041107178,0.45745283365249634,0.3682854175567627,0.4988000988960266,0.46422016620635986,0.5454387664794922,0.5216114521026611,0.7143576145172119,0.5993865728378296,0.44665470719337463
12-Draw-O(V),0.5387547016143799,0.6315823793411255,0.7040768265724182,0.9999998807907104,0.589948832988739,0.34657832980155945,0.47394055128097534,0.35992223024368286,0.5733263492584229,0.6167128086090088,0.47241365909576416,0.6515505313873291,0.528207540512085,0.5114525556564331,0.4185677766799927,0.5820276737213135,0.5975738763809204,0.5804726481437683,0.6445097923278809,0.5673288702964783,0.5767192840576172,0.5117107629776001
13-Draw-1,0.6458466053009033,0.4066583216190338,0.44048386812210083,0.589948832988739,0.9999999403953552,0.34760648012161255,0.32230186462402344,0.36343127489089966,0.28582602739334106,0.5117861032485962,0.4720134139060974,0.5305609703063965,0.2940547466278076,0.38645055890083313,0.3799065947532654,0.5979509353637695,0.5256409049034119,0.46772509813308716,0.4990783929824829,0.2858395576477051,0.3676212430000305,0.4282780885696411
14-Draw-2,0.5058048963546753,0.4994417428970337,0.403870552778244,0.34657832980155945,0.34760648012161255,0.9999997615814209,0.671343982219696,0.6255042552947998,0.300244003534317,0.3387434184551239,0.6127806901931763,0.5434325933456421,0.3767782151699066,0.35230308771133423,0.23492243885993958,0.5659886598587036,0.5374231338500977,0.5422418117523193,0.35901206731796265,0.48086950182914734,0.5354015231132507,0.7778908610343933
15-Draw-3,0.5354982614517212,0.70807945728302,0.5215833783149719,0.47394055128097534,0.32230186462402344,0.671343982219696,0.9999998807907104,0.4912717342376709,0.5938631296157837,0.4614660143852234,0.4990929365158081,0.5500621795654297,0.5295413732528687,0.49554577469825745,0.335112988948822,0.4943840801715851,0.5723704695701599,0.5270087718963623,0.4884418249130249,0.5296356678009033,0.5519251823425293,0.6116012334823608
16-Draw-4,0.6561005115509033,0.5337625741958618,0.32364821434020996,0.35992223024368286,0.36343127489089966,0.6255042552947998,0.4912717342376709,1.0000001192092896,0.3959982097148895,0.31626948714256287,0.3490482568740845,0.425229549407959,0.631435751914978,0.4249986410140991,0.2942821979522705,0.5073347091674805,0.6420544385910034,0.5543210506439209,0.4219907522201538,0.3296166658401489,0.4296718239784241,0.6467026472091675
17-Draw-5,0.4753124713897705,0.5299549102783203,0.5084379315376282,0.5733263492584229,0.28582602739334106,0.300244003534317,0.5938631296157837,0.3959982097148895,0.999999463558197,0.7235356569290161,0.42137494683265686,0.3900587260723114,0.7031265497207642,0.6774776577949524,0.5620554685592651,0.43226826190948486,0.5372047424316406,0.4836324155330658,0.6314451694488525,0.5318048000335693,0.568683922290802,0.335405170917511
18-Draw-6,0.4430444836616516,0.4593040943145752,0.525574803352356,0.6167128086090088,0.5117861032485962,0.3387434184551239,0.4614660143852234,0.31626948714256287,0.7235356569290161,1.000000238418579,0.45584794878959656,0.60928875207901,0.5437440276145935,0.7550823092460632,0.45198237895965576,0.45404088497161865,0.5148115158081055,0.47765493392944336,0.4928446412086487,0.39756321907043457,0.49044567346572876,0.3667309880256653
